Posted Date,Reference,Payee,Address,Amount
3/22/2025,24692165110101700955526,QT 917 THE COLONY TX,800-672-4399  FL ,-31.67
3/18/2025,10206005720006506133772,ADOBE *ADOBE 408-536-6000 CA,,21.64
3/12/2025,24692165092105756067393,ADOBE *ADOBE 408-536-6000 CA,866-712-7753  CA ,-21.64
3/3/2025,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-0.99
2/12/2025,10206005720006506133772,ADOBE *ADOBE 408-536-6000 CA,,-21.64
2/3/2025,24692165092105756067393,APPLE.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-0.99
1/28/2025,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-21.64
1/18/2025,10206005720006506133772,APPLE.COM/BILL 866-712-7753 CA,,-4.32
1/4/2025,24692165092105756067393,APPLE.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-0.99
12/5/2024,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-0.99
11/4/2024,10206005720006506133772,APPLE.COM/BILL 866-712-7753 CA,,-0.99
10/3/2024,24692165092105756067393,APPLE.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-0.99
9/3/2024,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-0.99
8/3/2024,10206005720006506133772,APPLE.COM/BILL 866-712-7753 CA,,-0.99
7/3/2024,24692165092105756067393,APPLE.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-0.99
6/3/2024,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-0.99
5/20/2024,10206005720006506133772,APPLE.COM/BILL 866-712-7753 CA,,-90.92
5/10/2024,24692165092105756067393,EXXON TIGER MART 87 PLANO TX,866-712-7753  CA ,-37.02
5/3/2024,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-0.99
4/23/2024,10206005720006506133772,APPLE.COM/BILL 866-712-7753 CA,,-8.64
4/17/2024,24692165092105756067393,TOM THUMB FS2963 FRISCO TX,866-712-7753  CA ,-24.52
4/3/2024,24692165110101700955526,APPLE.COM/BILL 866-712-7753 CA,800-672-4399  FL ,-0.99
